Film,Rater,Year,Win,Genres
Secrets & Lies,Oscars,1996,0,Drama
Shine,Oscars,1996,0,Drama
As Good as It Gets,Oscars,1997,0,Comedy
The Full Monty,Oscars,1997,0,
Good Will Hunting,Oscars,1997,0,Drama
L.A. Confidential,Oscars,1997,0,Crime
Titanic,Oscars,1997,1,Drama
Elizabeth,Oscars,1998,0,Drama
Life Is Beautiful,Oscars,1998,0,Comedy
Saving Private Ryan,Oscars,1998,0,Action
Shakespeare in Love,Oscars,1998,1,Comedy
The Thin Red Line,Oscars,1998,0,War
American Beauty,Oscars,1999,1,Drama
The Cider House Rules,Oscars,1999,0,
The Green Mile,Oscars,1999,0,
The Insider,Oscars,1999,0,
The Sixth Sense,Oscars,1999,0,
Chocolat,Oscars,2000,0,Drama
"Crouching Tiger, Hidden Dragon",Oscars,2000,0,Action
Erin Brockovich,Oscars,2000,0,Drama
Gladiator,Oscars,2000,1,Action
Traffic,Oscars,2000,0,Crime
A Beautiful Mind,Oscars,2001,1,
Gosford Park,Oscars,2001,0,Comedy
In the Bedroom,Oscars,2001,0,Drama
The Lord of the Rings: The Fellowship of the Ring,Oscars,2001,0,
Moulin Rouge,Oscars,2001,0,Drama
Chicago,Oscars,2002,1,Comedy
Gangs of New York,Oscars,2002,0,Crime
The Hours,Oscars,2002,0,
The Lord of the Rings: The Two Towers,Oscars,2002,0,
The Pianist,Oscars,2002,0,
The Longest Day,NBRA,1962,1,
Tom Jones,NBRA,1963,1,Adventure
Becket,NBRA,1964,1,Drama
The Eleanor Roosevelt Story,NBRA,1965,1,
A Man for All Seasons,NBRA,1966,1,
Far from the Madding Crowd,NBRA,1967,1,Drama
The Shoes of the Fisherman,NBRA,1968,1,
"They Shoot Horses, Don't They?",NBRA,1969,1,Drama
Patton,NBRA,1970,1,Drama
Macbeth,NBRA,1971,1,Drama
Cabaret,NBRA,1972,1,Drama
The Sting,NBRA,1973,1,Comedy
The Conversation,NBRA,1974,1,
Barry Lyndon,NBRA,1975,1,Drama
Nashville,NBRA,1975,1,Drama
All the President's Men,NBRA,1976,1,Drama
The Turning Point,NBRA,1977,1,Action
Days of Heaven,NBRA,1978,1,Drama
Manhattan,NBRA,1979,1,Comedy
Ordinary People,NBRA,1980,1,Drama
Chariots of Fire,NBRA,1981,1,Drama
Reds,NBRA,1981,1,Drama
Gandhi,NBRA,1982,1,Drama
Betrayal,NBRA,1983,1,Drama
Terms of Endearment,NBRA,1983,1,Comedy
A Passage to India,NBRA,1984,1,
The Color Purple,NBRA,1985,1,
A Room with a View,NBRA,1986,1,
Empire of the Sun,NBRA,1987,1,Action
Mississippi Burning,NBRA,1988,1,Crime
Driving Miss Daisy,NBRA,1989,1,Drama
Dances with Wolves,NBRA,1990,1,Adventure
The Silence of the Lambs,NBRA,1991,1,
Howards End,NBRA,1992,1,Drama
Schindler's List,NBRA,1993,1,Drama
Forrest Gump,NBRA,1994,1,Comedy
Pulp Fiction,NBRA,1994,1,Comedy
Sense and Sensibility,NBRA,1995,1,Drama
Shine,NBRA,1996,1,Drama
L.A. Confidential,NBRA,1997,1,Crime
Gods and Monsters,NBRA,1998,1,Drama
American Beauty,NBRA,1999,1,Drama
Quills,NBRA,2000,1,Drama
Moulin Rouge!,NBRA,2001,1,
The Hours,NBRA,2002,1,
Mystic River,NBRA,2003,1,Crime
Finding Neverland,NBRA,2004,1,Drama
"Good Night, and Good Luck",NBRA,2005,1,
Letters from Iwo Jima,NBRA,2006,1,Drama
No Country for Old Men,NBRA,2007,1,Crime
Slumdog Millionaire,NBRA,2008,1,Crime
Up in the Air,NBRA,2009,1,Drama
The Social Network,NBRA,2010,1,
Hugo,NBRA,2011,1,Children
Zero Dark Thirty,NBRA,2012,1,Action
Her,NBRA,2013,1,Drama
A Most Violent Year,NBRA,2014,1,Action
Mad Max: Fury Road,NBRA,2015,1,Action
Manchester by the Sea,NBRA,2016,1,Drama
The Post,NBRA,2017,1,Drama
Green Book,NBRA,2018,1,
Fargo,SA,1996,1,Comedy
Titanic,SA,1997,1,Drama
The Thin Red Line,SA,1998,1,War
The Insider,SA,1999,1,
Traffic,SA,2000,1,Crime
In the Bedroom,SA,2001,1,Drama
Far from Heaven,SA,2002,1,Drama
In America,SA,2003,1,Drama
Hotel Rwanda,SA,2004,1,Drama
Brokeback Mountain,SA,2005,1,Drama
The Departed,SA,2006,1,
No Country for Old Men,SA,2007,1,Crime
Slumdog Millionaire,SA,2008,1,Crime
The Hurt Locker,SA,2009,1,
The English Patient,SA,1996,0,
Lone Star,SA,1996,0,Drama
Secrets & Lies,SA,1996,0,Drama
Shine,SA,1996,0,Drama
Trainspotting,SA,1996,0,Comedy
Amistad,SA,1997,0,Drama
Boogie Nights,SA,1997,0,Drama
Good Will Hunting,SA,1997,0,Drama
L.A. Confidential,SA,1997,0,Crime
Elizabeth,SA,1998,0,Drama
The General,SA,1998,0,
Gods and Monsters,SA,1998,0,Drama
Saving Private Ryan,SA,1998,0,Action
American Beauty,SA,1999,0,Drama
Boys Don't Cry,SA,1999,0,Drama
Magnolia,SA,1999,0,Drama
Snow Falling on Cedars,SA,1999,0,Drama
The Talented Mr. Ripley,SA,1999,0,
Billy Elliot,SA,2000,0,Drama
Dancer in the Dark,SA,2000,0,Drama
Erin Brockovich,SA,2000,0,Drama
Gladiator,SA,2000,0,Action
Quills,SA,2000,0,Drama
The Deep End,SA,2001,0,
Memento,SA,2001,0,Mystery
The Others,SA,2001,0,
Sexy Beast,SA,2001,0,Crime
Antwone Fisher,SA,2002,0,Drama
The Hours,SA,2002,0,
The Lord of the Rings: The Two Towers,SA,2002,0,
The Quiet American,SA,2002,0,
Road to Perdition,SA,2002,0,Crime
The Last Samurai,SA,2003,0,
The Lord of the Rings: The Return of the King,SA,2003,0,
Master and Commander: The Far Side of the World,SA,2003,0,Adventure
Mystic River,SA,2003,0,Crime
Thirteen,SA,2003,0,Drama
Whale Rider,SA,2003,0,Drama
The Aviator,SA,2004,0,
Kill Bill: Volume 2,SA,2004,0,
Kinsey,SA,2004,0,Drama
Maria Full of Grace,SA,2004,0,Crime
Vera Drake,SA,2004,0,Drama
A History of Violence,SA,2005,0,
Capote,SA,2005,0,Crime
Cinderella Man,SA,2005,0,Drama
Memoirs of a Geisha,SA,2005,0,Drama
The War Within,SA,2005,0,
Babel,SA,2006,0,Drama
Flags of Our Fathers,SA,2006,0,Drama
Half Nelson,SA,2006,0,Drama
The Last King of Scotland,SA,2006,0,
Little Children,SA,2006,0,Drama
The Queen,SA,2006,0,Drama
3:10 to Yuma,SA,2007,0,Action
Away from Her,SA,2007,0,Drama
Before the Devil Knows You're Dead,SA,2007,0,Crime
Eastern Promises,SA,2007,0,Crime
The Lookout,SA,2007,0,Action
Frost/Nixon,SA,2008,0,Drama
Frozen River,SA,2008,0,Drama
Milk,SA,2008,0,Drama
The Reader,SA,2008,0,Comedy
Revolutionary Road,SA,2008,0,Drama
Bright Star,SA,2009,0,Drama
An Education,SA,2009,0,
The Messenger,SA,2009,0,
Precious,SA,2009,0,Drama
The Stoning of Soraya M.,SA,2009,0,
Black Panther,SA,2018,0,Action
First Man,SA,2018,0,
Hereditary,SA,2018,0,(no genres listed)
If Beale Street Could Talk,SA,2018,0,Drama
Mary Queen of Scots,SA,2018,0,Drama
Widows,SA,2018,0,Drama
Lawrence of Arabia,DGA,1962,1,Adventure
Tom Jones,DGA,1963,1,Adventure
My Fair Lady,DGA,1964,1,Comedy
The Sound of Music,DGA,1965,1,
A Man for All Seasons,DGA,1966,1,
The Graduate,DGA,1967,1,
The Lion in Winter,DGA,1968,1,
Midnight Cowboy,DGA,1969,1,Drama
Patton,DGA,1970,1,Drama
The French Connection,DGA,1971,1,
The Godfather,DGA,1972,1,
The Sting,DGA,1973,1,Comedy
The Godfather Part II,DGA,1974,1,
One Flew Over the Cuckoo's Nest,DGA,1975,1,Drama
Rocky,DGA,1976,1,Drama
Annie Hall,DGA,1977,1,Comedy
The Deer Hunter,DGA,1978,1,
Kramer vs. Kramer,DGA,1979,1,Drama
Ordinary People,DGA,1980,1,Drama
Reds,DGA,1981,1,Drama
Gandhi,DGA,1982,1,Drama
Terms of Endearment,DGA,1983,1,Comedy
Amadeus,DGA,1984,1,Drama
The Color Purple,DGA,1985,1,
Platoon,DGA,1986,1,Drama
The Last Emperor,DGA,1987,1,
Rain Man,DGA,1988,1,Drama
Born on the Fourth of July,DGA,1989,1,Drama
Dances with Wolves,DGA,1990,1,Adventure
The Silence of the Lambs,DGA,1991,1,
Unforgiven,DGA,1992,1,Drama
Schindler's List,DGA,1993,1,Drama
Forrest Gump,DGA,1994,1,Comedy
Apollo 13,DGA,1995,1,Adventure
The English Patient,DGA,1996,1,
Titanic,DGA,1997,1,Drama
Saving Private Ryan,DGA,1998,1,Action
American Beauty,DGA,1999,1,Drama
"Crouching Tiger, Hidden Dragon",DGA,2000,1,Action
A Beautiful Mind,DGA,2001,1,
Chicago,DGA,2002,1,Comedy
The Lord of the Rings: The Return of the King,DGA,2003,1,
Million Dollar Baby,DGA,2004,1,Drama
Brokeback Mountain,DGA,2005,1,Drama
The Departed,DGA,2006,1,
No Country for Old Men,DGA,2007,1,Crime
Slumdog Millionaire,DGA,2008,1,Crime
The Hurt Locker,DGA,2009,1,
The King's Speech,DGA,2010,1,
The Artist,DGA,2011,1,Comedy
Argo,DGA,2012,1,Drama
Gravity,DGA,2013,1,Crime
Birdman or (The Unexpected Virtue of Ignorance),DGA,2014,1,
The Revenant,DGA,2015,1,Adventure
La La Land,DGA,2016,1,Comedy
The Shape of Water,DGA,2017,1,Adventure
Roma,DGA,2018,1,Drama
What Ever Happened to Baby Jane?,DGA,1962,0,Drama
The Music Man,DGA,1962,0,
Lolita,DGA,1962,0,Drama
Mutiny on the Bounty,DGA,1962,0,Adventure
To Kill a Mockingbird,DGA,1962,0,Drama
Requiem for a Heavyweight,DGA,1962,0,Drama
The Miracle Worker,DGA,1962,0,Drama
A Taste of Honey,DGA,1962,0,
8½,DGA,1963,0,
America America,DGA,1963,0,
Lilies of the Field,DGA,1963,0,Drama
Hud,DGA,1963,0,Drama
Becket,DGA,1964,0,Drama
The Night of the Iguana,DGA,1964,0,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,DGA,1964,0,Comedy
Mary Poppins,DGA,1964,0,Children
The Ipcress File,DGA,1965,0,
The Pawnbroker,DGA,1965,0,
Darling,DGA,1965,0,Drama
Cat Ballou,DGA,1965,0,Comedy
The Professionals,DGA,1966,0,
Grand Prix,DGA,1966,0,Drama
Alfie,DGA,1966,0,Comedy
Born Free,DGA,1966,0,Adventure
"The Russians Are Coming, the Russians Are Coming",DGA,1966,0,
A Man and a Woman,DGA,1966,0,Drama
Georgy Girl,DGA,1966,0,Comedy
Who's Afraid of Virginia Woolf?,DGA,1966,0,Drama
The Sand Pebbles,DGA,1966,0,
The Dirty Dozen,DGA,1967,0,
In Cold Blood,DGA,1967,0,Crime
"To Sir, with Love",DGA,1967,0,
Two for the Road,DGA,1967,0,Comedy
In the Heat of the Night,DGA,1967,0,Drama
Guess Who's Coming to Dinner,DGA,1967,0,Drama
Bonnie and Clyde,DGA,1967,0,Crime
Cool Hand Luke,DGA,1967,0,Drama
Ulysses,DGA,1967,0,Adventure
Isabel,DGA,1968,0,
2001: A Space Odyssey,DGA,1968,0,Adventure
Closely Watched Trains,DGA,1968,0,Comedy
"Rachel, Rachel",DGA,1968,0,Drama
Rosemary's Baby,DGA,1968,0,Drama
Oliver!,DGA,1968,0,Drama
The Odd Couple,DGA,1968,0,
Funny Girl,DGA,1968,0,Drama
Romeo and Juliet,DGA,1968,0,Drama
Oh! What a Lovely War,DGA,1969,0,Musical
Z,DGA,1969,0,Drama
Butch Cassidy and the Sundance Kid,DGA,1969,0,Action
Easy Rider,DGA,1969,0,Adventure
"Hello, Dolly!",DGA,1969,0,Comedy
The Wild Bunch,DGA,1969,0,
"Goodbye, Columbus",DGA,1969,0,Comedy
"They Shoot Horses, Don't They?",DGA,1969,0,Drama
Medium Cool,DGA,1969,0,Drama
M*A*S*H,DGA,1970,0,Comedy
Love Story,DGA,1970,0,Drama
Ryan's Daughter,DGA,1970,0,Drama
Five Easy Pieces,DGA,1970,0,Drama
The Last Picture Show,DGA,1971,0,
A Clockwork Orange,DGA,1971,0,
Summer of '42,DGA,1971,0,Drama
Sunday Bloody Sunday,DGA,1971,0,Drama
Deliverance,DGA,1972,0,Adventure
Cabaret,DGA,1972,0,Drama
Slaughterhouse-Five,DGA,1972,0,Comedy
Sounder,DGA,1972,0,Drama
Last Tango in Paris,DGA,1973,0,Drama
The Exorcist,DGA,1973,0,
American Graffiti,DGA,1973,0,Comedy
Serpico,DGA,1973,0,Crime
The Conversation,DGA,1974,0,
Lenny,DGA,1974,0,Drama
Murder on the Orient Express,DGA,1974,0,Crime
Chinatown,DGA,1974,0,Crime
Nashville,DGA,1975,0,Drama
Barry Lyndon,DGA,1975,0,Drama
Dog Day Afternoon,DGA,1975,0,Crime
Jaws,DGA,1975,0,Action
Network,DGA,1976,0,Comedy
All the President's Men,DGA,1976,0,Drama
Taxi Driver,DGA,1976,0,Crime
Seven Beauties,DGA,1976,0,Comedy
Star Wars,DGA,1977,0,
The Turning Point,DGA,1977,0,Action
Close Encounters of the Third Kind,DGA,1977,0,Adventure
Julia,DGA,1977,0,Drama
Coming Home,DGA,1978,0,Drama
Heaven Can Wait,DGA,1978,0,Comedy
An Unmarried Woman,DGA,1978,0,
Midnight Express,DGA,1978,0,Drama
Manhattan,DGA,1979,0,Comedy
The China Syndrome,DGA,1979,0,
Apocalypse Now,DGA,1979,0,Action
Breaking Away,DGA,1979,0,Comedy
Coal Miner's Daughter,DGA,1980,0,Drama
The Elephant Man,DGA,1980,0,Drama
The Stunt Man,DGA,1980,0,
Raging Bull,DGA,1980,0,Drama
Chariots of Fire,DGA,1981,0,Drama
Atlantic City,DGA,1981,0,Crime
On Golden Pond,DGA,1981,0,Drama
Raiders of the Lost Ark,DGA,1981,0,Action
An Officer and a Gentleman,DGA,1982,0,
Das Boot,DGA,1982,0,
Tootsie,DGA,1982,0,Comedy
E.T. the Extra-Terrestrial,DGA,1982,0,Children
Tender Mercies,DGA,1983,0,Drama
Fanny and Alexander,DGA,1983,0,Drama
The Big Chill,DGA,1983,0,
The Right Stuff,DGA,1983,0,
Places in the Heart,DGA,1984,0,Drama
A Soldier's Story,DGA,1984,0,
The Killing Fields,DGA,1984,0,
A Passage to India,DGA,1984,0,
Cocoon,DGA,1985,0,Comedy
Prizzi's Honor,DGA,1985,0,Comedy
Out of Africa,DGA,1985,0,Drama
Witness,DGA,1985,0,Drama
Hannah and Her Sisters,DGA,1986,0,Comedy
Children of a Lesser God,DGA,1986,0,Drama
A Room with a View,DGA,1986,0,
Stand by Me,DGA,1986,0,Adventure
Broadcast News,DGA,1987,0,Comedy
My Life as a Dog,DGA,1987,0,Comedy
Fatal Attraction,DGA,1987,0,Drama
Empire of the Sun,DGA,1987,0,Action
A Fish Called Wanda,DGA,1988,0,
Working Girl,DGA,1988,0,Comedy
Mississippi Burning,DGA,1988,0,Crime
Who Framed Roger Rabbit,DGA,1988,0,
Crimes and Misdemeanors,DGA,1989,0,Comedy
When Harry Met Sally...,DGA,1989,0,Comedy
Field of Dreams,DGA,1989,0,Children
Dead Poets Society,DGA,1989,0,Drama
The Godfather Part III,DGA,1990,0,
Avalon,DGA,1990,0,Drama
Goodfellas,DGA,1990,0,Crime
Cinema Paradiso,DGA,1990,0,Drama
Bugsy,DGA,1991,0,Crime
Thelma and Louise,DGA,1991,0,
JFK,DGA,1991,0,Drama
The Prince of Tides,DGA,1991,0,
The Player,DGA,1992,0,
Howards End,DGA,1992,0,Drama
The Crying Game,DGA,1992,0,
A Few Good Men,DGA,1992,0,
The Piano,DGA,1993,0,
The Fugitive,DGA,1993,0,
The Remains of the Day,DGA,1993,0,
The Age of Innocence,DGA,1993,0,
The Shawshank Redemption,DGA,1994,0,
Four Weddings and a Funeral,DGA,1994,0,Comedy
Quiz Show,DGA,1994,0,Drama
Pulp Fiction,DGA,1994,0,Comedy
Leaving Las Vegas,DGA,1995,0,Drama
Braveheart,DGA,1995,0,Action
Sense and Sensibility,DGA,1995,0,Drama
Il Postino: The Postman,DGA,1995,0,
Fargo,DGA,1996,0,Comedy
Jerry Maguire,DGA,1996,0,Drama
Shine,DGA,1996,0,Drama
Secrets and Lies,DGA,1996,0,
As Good as It Gets,DGA,1997,0,Comedy
L.A. Confidential,DGA,1997,0,Crime
Amistad,DGA,1997,0,Drama
Good Will Hunting,DGA,1997,0,Drama
Life Is Beautiful,DGA,1998,0,Comedy
Shakespeare in Love,DGA,1998,0,Comedy
The Thin Red Line,DGA,1998,0,War
The Truman Show,DGA,1998,0,
The Green Mile,DGA,1999,0,
Being John Malkovich,DGA,1999,0,Comedy
The Insider,DGA,1999,0,
The Sixth Sense,DGA,1999,0,
Almost Famous,DGA,2000,0,Drama
Gladiator,DGA,2000,0,Action
Erin Brockovich,DGA,2000,0,Drama
Traffic,DGA,2000,0,Crime
The Lord of the Rings: The Fellowship of the Ring,DGA,2001,0,
Moulin Rouge!,DGA,2001,0,
Memento,DGA,2001,0,Mystery
Black Hawk Down,DGA,2001,0,Action
The Hours,DGA,2002,0,
The Lord of the Rings: The Two Towers,DGA,2002,0,
The Pianist,DGA,2002,0,
Gangs of New York,DGA,2002,0,Crime
Lost in Translation,DGA,2003,0,Comedy
Mystic River,DGA,2003,0,Crime
Seabiscuit,DGA,2003,0,Drama
Master and Commander: The Far Side of the World,DGA,2003,0,Adventure
Finding Neverland,DGA,2004,0,Drama
Ray,DGA,2004,0,Drama
Sideways,DGA,2004,0,Comedy
The Aviator,DGA,2004,0,
"Good Night, and Good Luck",DGA,2005,0,
Crash,DGA,2005,0,Drama
Capote,DGA,2005,0,Crime
Munich,DGA,2005,0,Action
Dreamgirls,DGA,2006,0,Drama
Little Miss Sunshine,DGA,2006,0,Adventure
The Queen,DGA,2006,0,Drama
Babel,DGA,2006,0,Drama
There Will Be Blood,DGA,2007,0,Drama
Michael Clayton,DGA,2007,0,Drama
Into the Wild,DGA,2007,0,Action
The Diving Bell and the Butterfly,DGA,2007,0,
The Curious Case of Benjamin Button,DGA,2008,0,
Frost/Nixon,DGA,2008,0,Drama
The Dark Knight,DGA,2008,0,Action
Milk,DGA,2008,0,Drama
Avatar,DGA,2009,0,Action
Precious,DGA,2009,0,Drama
Up in the Air,DGA,2009,0,Drama
Inglourious Basterds,DGA,2009,0,Action
Black Swan,DGA,2010,0,Drama
The Social Network,DGA,2010,0,
Inception,DGA,2010,0,Action
The Fighter,DGA,2010,0,
Midnight in Paris,DGA,2011,0,Comedy
The Girl with the Dragon Tattoo,DGA,2011,0,
The Descendants,DGA,2011,0,
Hugo,DGA,2011,0,Children
Zero Dark Thirty,DGA,2012,0,Action
Les Misérables,DGA,2012,0,(no genres listed)
Life of Pi,DGA,2012,0,Adventure
Lincoln,DGA,2012,0,Drama
Captain Phillips,DGA,2013,0,Adventure
12 Years a Slave,DGA,2013,0,Drama
American Hustle,DGA,2013,0,Crime
The Wolf of Wall Street,DGA,2013,0,
The Grand Budapest Hotel,DGA,2014,0,
American Sniper,DGA,2014,0,Action
Boyhood,DGA,2014,0,Drama
The Imitation Game,DGA,2014,0,Drama
Spotlight,DGA,2015,0,Thriller
The Big Short,DGA,2015,0,
Mad Max: Fury Road,DGA,2015,0,Action
The Martian,DGA,2015,0,Adventure
Lion,DGA,2016,0,Drama
Moonlight,DGA,2016,0,Drama
Manchester by the Sea,DGA,2016,0,Drama
Arrival,DGA,2016,0,Sci-Fi
Lady Bird,DGA,2017,0,Comedy
"Three Billboards Outside Ebbing, Missouri",DGA,2017,0,Crime
Dunkirk,DGA,2017,0,War
Get Out,DGA,2017,0,Horror
A Star Is Born,DGA,2018,0,Drama
Green Book,DGA,2018,0,
BlacKkKlansman,DGA,2018,0,Comedy
Vice,DGA,2018,0,Crime
Lawrence of Arabia,BAFTA,1962,1,Adventure
Tom Jones,BAFTA,1963,1,Adventure
Dr. Strangelove,BAFTA,1964,1,
My Fair Lady,BAFTA,1965,1,Comedy
Who's Afraid of Virginia Woolf?,BAFTA,1966,1,Drama
A Man For All Seasons,BAFTA,1967,1,
The Graduate,BAFTA,1968,1,
