,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,imdb_numVotes,RottenCriticRating,rottencritic_numVotes,RottenRating,rotten_numVotes
49,1953,BEST PICTURE,FALSE,Shane,Drama|Western,3.76,118,7.7,33258,97,33,81,15474
50,1954,BEST PICTURE,FALSE,The Caine Mutiny,Drama|War,3.9,124,7.8,22510,92,24,87,7531
51,1954,BEST PICTURE,FALSE,The Country Girl,Drama|Musical,3.45,104,7.3,4831,86,7,78,3102
52,1954,BEST PICTURE,TRUE,On the Waterfront,Crime|Drama,4.13,108,8.2,127596,98,64,95,52055
53,1954,BEST PICTURE,FALSE,Seven Brides for Seven Brothers,Comedy|Musical|Romance|Western,3.55,102,7.4,19272,88,25,87,54281
54,1954,BEST PICTURE,FALSE,Three Coins in the Fountain,Drama|Romance,2.82,102,6.3,2742,63,8,43,2015
55,1955,BEST PICTURE,FALSE,Love Is a Many-Splendored Thing,Drama|Romance|War,3.27,102,6.6,4011,50,14,57,2550
56,1955,BEST PICTURE,TRUE,Marty,Drama|Romance,3.9,90,7.7,18971,100,33,87,6710
57,1955,BEST PICTURE,FALSE,Mister Roberts,Comedy|Drama|War,4.04,123,7.7,14223,92,24,85,6713
58,1955,BEST PICTURE,FALSE,Picnic,Drama|Romance,3.65,115,7.2,7260,57,7,55,2506
59,1955,BEST PICTURE,FALSE,The Rose Tattoo,Comedy|Drama|Romance,3.45,117,7.2,3124,80,5,76,1102
60,1956,BEST PICTURE,TRUE,Around the World in 80 Days,Adventure|Comedy,3.47,175,6.8,21952,71,38,57,33398
61,1956,BEST PICTURE,FALSE,Friendly Persuasion,Drama,3.81,137,7.5,5735,88,8,82,1242
62,1956,BEST PICTURE,FALSE,Giant,Drama|Romance|Western,3.74,201,7.7,30945,95,40,86,24234
63,1956,BEST PICTURE,FALSE,The King and I,Biography|Drama|Musical,3.25,133,7.5,21995,96,25,83,60960
64,1956,BEST PICTURE,FALSE,The Ten Commandments,Adventure|Drama,3.45,220,7.9,56606,94,33,87,60166
65,1957,BEST PICTURE,TRUE,The Bridge on the River Kwai,Adventure|Drama|War,4.1,161,8.2,184678,95,56,93,54514
66,1957,BEST PICTURE,FALSE,Peyton Place,Drama|Romance,3.3,157,7.2,4708,60,15,73,3098
67,1957,BEST PICTURE,FALSE,Sayonara,Drama,3.39,147,7.2,5346,100,9,78,3540
68,1957,BEST PICTURE,FALSE,12 Angry Men,Drama,4.24,96,8.9,584744,100,50,97,104767
69,1957,BEST PICTURE,FALSE,Witness for the Prosecution,Drama|Mystery|Thriller,4.08,116,8.4,89880,100,31,95,8901
70,1958,BEST PICTURE,FALSE,Auntie Mame,Comedy|Drama,3.89,143,8,9405,93,14,93,8198
71,1958,BEST PICTURE,FALSE,Cat on a Hot Tin Roof,Drama,3.93,108,8.1,39943,97,35,92,31697
72,1958,BEST PICTURE,FALSE,The Defiant Ones,Crime|Drama,3.35,96,7.7,11772,81,21,88,5123
73,1958,BEST PICTURE,TRUE,Gigi,Musical,3.6,115,6.8,17608,79,33,74,20961
74,1958,BEST PICTURE,FALSE,Separate Tables,Drama,3.7,100,7.5,5907,71,14,78,1333
75,1959,BEST PICTURE,FALSE,Anatomy of a Murder,Drama|Mystery,4.02,160,8,53536,100,42,90,12286
76,1959,BEST PICTURE,TRUE,Ben-Hur,Action|Adventure|Drama,3.8,212,8.1,199622,87,46,89,106050
77,1959,BEST PICTURE,FALSE,The Diary of Anne Frank,Drama|War,3.7,180,7.4,10952,76,17,77,27939
78,1959,BEST PICTURE,FALSE,The Nun's Story,Drama,3.2,149,7.6,8422,93,15,82,5543
79,1959,BEST PICTURE,FALSE,Room at the Top,Drama,3.81,117,7.6,4434,100,13,82,1162
80,1960,BEST PICTURE,FALSE,The Alamo,Adventure|Drama|History,3.3,162,6.9,13013,50,20,64,7310
81,1960,BEST PICTURE,TRUE,The Apartment,Comedy|Drama|Romance,4.15,125,8.3,141371,94,63,94,37979
82,1960,BEST PICTURE,FALSE,Elmer Gantry,Drama,3.87,146,7.8,9190,97,29,86,3384
83,1960,BEST PICTURE,FALSE,Sons and Lovers,Drama,3.08,103,7.3,1147,75,8,55,394
84,1960,BEST PICTURE,FALSE,The Sundowners,Drama|Adventure,3.65,133,7.2,3405,80,10,63,584
85,1961,BEST PICTURE,FALSE,Fanny,Drama|Romance,3.32,134,7,1747,NA,NA,70,417
86,1961,BEST PICTURE,FALSE,The Guns of Navarone,Action|Adventure|Drama,3.25,158,7.6,41652,95,22,86,20179
87,1961,BEST PICTURE,FALSE,The Hustler,Drama|Sport,4.15,134,8,70153,98,43,93,31163
88,1961,BEST PICTURE,FALSE,Judgment at Nuremberg,Drama,3.96,186,8.2,61051,90,20,93,8605
89,1961,BEST PICTURE,TRUE,West Side Story,Drama|Musical|Romance,3.72,153,7.6,86813,94,67,84,168816
90,1962,BEST PICTURE,TRUE,Lawrence of Arabia,Adventure|Drama|War,4.11,216,8.3,238938,98,82,93,74715
91,1962,BEST PICTURE,FALSE,The Longest Day,Action|Drama|History,3.45,178,7.8,48624,91,22,90,42863
92,1962,BEST PICTURE,FALSE,The Music Man,Comedy|Musical|Romance,3.35,151,7.7,14692,94,17,85,30520
93,1962,BEST PICTURE,FALSE,Mutiny on the Bounty,Adventure|Drama|Romance,3.57,178,7.3,13479,72,18,73,4451
94,1962,BEST PICTURE,FALSE,To Kill a Mockingbird,Drama,4.15,129,8.3,268613,91,57,92,178692
95,1963,BEST PICTURE,FALSE,America America,Drama,3.45,176,7.8,4300,NA,NA,NA,NA
96,1963,BEST PICTURE,FALSE,Cleopatra,Drama|Romance,3.44,192,7,26208,56,34,69,20503
97,1963,BEST PICTURE,FALSE,How the West Was Won,Western,3.56,184,7.1,16813,90,20,74,9762
98,1963,BEST PICTURE,FALSE,Lilies of the Field,Drama,3.94,94,7.6,7895,90,21,85,6118
99,1963,BEST PICTURE,TRUE,Tom Jones,Adventure|Comedy|Romance,3.77,128,6.6,10311,85,33,58,5459
100,1964,BEST PICTURE,FALSE,Becket,Drama,3.91,148,8,12568,75,24,88,5598
101,1964,BEST PICTURE,FALSE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,4.21,95,8.4,410460,99,77,94,209130
102,1964,BEST PICTURE,FALSE,Mary Poppins,Children|Comedy|Fantasy|Musical,3.72,139,7.8,140319,100,48,86,682194
103,1964,BEST PICTURE,TRUE,My Fair Lady,Comedy|Drama|Musical|Romance,3.87,170,7.9,79112,96,50,90,186935
104,1964,BEST PICTURE,FALSE,Zorba the Greek,Comedy|Drama,3.35,142,7.7,18528,88,8,87,7118
105,1965,BEST PICTURE,FALSE,Darling,Drama,3.42,128,7.2,5188,70,10,71,2177
106,1965,BEST PICTURE,FALSE,Doctor Zhivago,Drama|Romance|War,3.92,197,8,63997,82,45,88,45705
107,1965,BEST PICTURE,FALSE,Ship of Fools,Drama,3.5,149,7.2,4629,81,16,77,1164
108,1965,BEST PICTURE,TRUE,The Sound of Music,Biography|Drama|Family,4.25,172,8,180961,86,64,91,606045
109,1965,BEST PICTURE,FALSE,A Thousand Clowns,Comedy|Drama|Romance,3.25,118,7.5,2959,69,16,89,1066
110,1966,BEST PICTURE,FALSE,Alfie,Comedy|Drama|Romance,3.6,114,7.1,12307,96,26,76,14660
111,1966,BEST PICTURE,TRUE,A Man for All Seasons,Biography|Drama|History,3.45,120,7.8,27943,82,38,87,9727
112,1966,BEST PICTURE,FALSE,The Russians Are Coming The Russians Are Coming,Comedy|War,3.6,126,7.1,7144,85,20,75,4747
113,1966,BEST PICTURE,FALSE,The Sand Pebbles,Adventure|Drama|Romance,3.45,182,7.7,12077,94,16,88,5626
114,1966,BEST PICTURE,FALSE,Who's Afraid of Virginia Woolf?,Drama,4.03,131,8,63471,95,41,91,21546
115,1967,BEST PICTURE,FALSE,Bonnie and Clyde,Crime|Drama,3.85,111,7.9,93040,88,56,88,56421
116,1967,BEST PICTURE,FALSE,Doctor Dolittle,Adventure|Children|Musical,3,152,6.2,7524,32,19,57,73369
117,1967,BEST PICTURE,FALSE,The Graduate,Comedy|Drama|Romance,4.5,106,8,236312,89,75,90,183364
118,1967,BEST PICTURE,FALSE,Guess Who's Coming to Dinner,Drama,3.84,108,7.8,34823,71,31,85,38197
119,1967,BEST PICTURE,TRUE,In the Heat of the Night,Drama|Mystery,4.05,110,8,59775,96,49,92,23095
120,1968,BEST PICTURE,FALSE,Funny Girl,Drama|Musical|Romance,3.56,151,7.6,16500,93,44,85,19840
121,1968,BEST PICTURE,FALSE,The Lion in Winter,Biography|Drama|History,4.05,134,8.1,26724,92,36,90,13077
122,1968,BEST PICTURE,TRUE,Oliver!,Drama|Musical,3.64,153,7.5,31159,82,33,81,56053
123,1968,BEST PICTURE,FALSE,"Rachel, Rachel",Drama|Romance,3.62,101,7.4,2660,86,7,77,482
124,1968,BEST PICTURE,FALSE,Romeo and Juliet,Drama|Romance,3.61,138,7.6,26971,94,36,74,65120
125,1969,BEST PICTURE,FALSE,Anne of the Thousand Days,Drama,3.77,145,7.5,6115,38,13,83,3269
126,1969,BEST PICTURE,FALSE,Butch Cassidy and the Sundance Kid,Action|Western,4.03,110,8.1,185605,90,48,92,70978
127,1969,BEST PICTURE,FALSE,"Hello, Dolly!",Comedy|Musical|Romance,3.37,146,7.2,11968,43,30,76,21156
128,1969,BEST PICTURE,TRUE,Midnight Cowboy,Drama,3.96,113,7.9,89499,90,63,88,39873
129,1969,BEST PICTURE,FALSE,Z,Drama|Mystery|Thriller,4.02,127,8.2,21110,93,40,93,6500
130,1970,BEST PICTURE,FALSE,Airport,Drama,3.05,137,6.6,15773,80,15,53,11242
131,1970,BEST PICTURE,FALSE,Five Easy Pieces,Drama,3.9,98,7.5,29826,88,49,84,13083
132,1970,BEST PICTURE,FALSE,Love Story,Drama|Romance,3.21,100,6.9,26871,64,25,75,35255
133,1970,BEST PICTURE,FALSE,MASH,Comedy|Drama|War,3.4,116,7.6,62944,85,47,83,53077
134,1970,BEST PICTURE,TRUE,Patton,Drama|War,4,172,8,87450,96,45,93,43207
135,1971,BEST PICTURE,FALSE,A Clockwork Orange,Comedy|Drama|Sci-Fi,4.15,136,8.3,680938,90,59,93,436312
136,1971,BEST PICTURE,FALSE,Fiddler on the Roof,Drama|Musical,3.89,181,8,34806,83,40,92,52502
137,1971,BEST PICTURE,TRUE,The French Connection,Action|Crime|Drama,3.8,104,7.8,98575,98,56,87,44157
138,1971,BEST PICTURE,FALSE,The Last Picture Show,Drama,4.16,118,8.1,37429,100,52,90,14082
139,1971,BEST PICTURE,FALSE,Nicholas and Alexandra,Drama|War,3.43,183,7.3,3967,71,14,78,1663
140,1972,BEST PICTURE,FALSE,Cabaret,Drama|Musical,3.86,124,7.8,42949,95,37,87,36019
141,1972,BEST PICTURE,FALSE,Deliverance,Adventure|Drama|Thriller,3.77,109,7.7,90274,93,56,82,49318
142,1972,BEST PICTURE,FALSE,The Emigrants,Drama|History,3.97,151,8,4608,89,9,87,758
143,1972,BEST PICTURE,TRUE,The Godfather,Crime|Drama,4.62,175,9.2,1420779,98,89,98,732022
144,1972,BEST PICTURE,FALSE,Sounder,Drama,3.76,105,7.6,3128,88,17,77,1922
145,1973,BEST PICTURE,FALSE,American Graffiti,Comedy|Drama,3.75,110,7.5,74033,96,47,84,64476
146,1973,BEST PICTURE,FALSE,Cries and Whispers,Drama,3.67,151,8.1,25504,89,28,91,9191
147,1973,BEST PICTURE,FALSE,The Exorcist,Horror,3.89,122,8,329151,85,75,87,419799
148,1973,BEST PICTURE,TRUE,The Sting,Comedy|Crime|Drama,3.99,129,8.3,216858,93,57,95,61610
149,1973,BEST PICTURE,FALSE,A Touch of Class,Comedy|Romance,3.11,106,6.5,2469,91,11,65,2022
150,1974,BEST PICTURE,FALSE,Chinatown,Crime|Film-Noir|Mystery|Thriller,4.15,130,8.2,263490,98,64,93,77592
151,1974,BEST PICTURE,FALSE,The Conversation,Drama|Mystery|Thriller,3.48,113,7.9,86745,98,49,90,34941
152,1974,BEST PICTURE,TRUE,The Godfather Part II,Crime|Drama,4.31,202,9,986231,97,73,97,410664
153,1974,BEST PICTURE,FALSE,Lenny,Drama,3.77,111,7.6,12929,95,20,88,6525
154,1974,BEST PICTURE,FALSE,The Towering Inferno,Action|Drama|Thriller,3.37,165,6.9,35462,71,28,71,28282
155,1975,BEST PICTURE,FALSE,Barry Lyndon,Drama|Romance|War,3.83,185,8.1,130762,94,67,92,44895
156,1975,BEST PICTURE,FALSE,Dog Day Afternoon,Crime|Drama,3.96,125,8,216415,95,42,90,110014
157,1975,BEST PICTURE,FALSE,Jaws,Action|Horror,3.78,124,8,505104,97,78,90,943309
158,1975,BEST PICTURE,FALSE,Nashville,Drama|Musical,3.89,160,7.8,20856,93,54,84,10046
159,1975,BEST PICTURE,TRUE,One Flew over the Cuckoo's Nest,Drama,4.17,133,8.7,821663,94,70,96,279151
160,1976,BEST PICTURE,FALSE,All the President's Men,Drama|Thriller,4.03,138,8,91053,93,56,92,50158
161,1976,BEST PICTURE,FALSE,Bound for Glory,Drama,3.6,147,7.3,4281,85,20,77,1378
162,1976,BEST PICTURE,FALSE,Network,Comedy|Drama,4.01,121,8.1,129862,92,61,93,36180
163,1976,BEST PICTURE,TRUE,Rocky,Drama,3.73,120,8.1,467667,93,60,69,33403994
164,1976,BEST PICTURE,FALSE,Taxi Driver,Crime|Drama|Thriller,4.09,114,8.3,628621,98,82,93,259362
165,1977,BEST PICTURE,TRUE,Annie Hall,Comedy|Romance,4.04,93,8,235094,97,71,92,153515
166,1977,BEST PICTURE,FALSE,The Goodbye Girl,Comedy|Drama|Romance,3.24,111,7.4,11303,88,16,84,7457
167,1977,BEST PICTURE,FALSE,Julia,Drama,3.59,117,7.3,8006,72,25,71,2731
168,1977,BEST PICTURE,FALSE,Star Wars,Action|Adventure|Fantasy,4.23,121,8.6,1109018,93,116,96,860155
169,1977,BEST PICTURE,FALSE,The Turning Point,Drama|Romance,3.7,119,6.9,3869,60,20,67,2860
170,1978,BEST PICTURE,FALSE,Coming Home,Drama|War,3.68,127,7.3,11126,82,22,83,5149
171,1978,BEST PICTURE,TRUE,The Deer Hunter,Drama|War,3.88,183,8.1,282003,94,68,92,103261
172,1978,BEST PICTURE,FALSE,Heaven Can Wait,Comedy,3.54,101,6.9,16762,89,36,68,13197
173,1978,BEST PICTURE,FALSE,Midnight Express,Drama,3.89,121,7.6,64924,96,24,89,31000
174,1978,BEST PICTURE,FALSE,An Unmarried Woman,Comedy|Drama|Romance,3.6,124,7.2,4096,89,19,72,1805
175,1979,BEST PICTURE,FALSE,All That Jazz,Drama|Fantasy|Musical,3.75,123,7.8,23786,86,36,86,11693
176,1979,BEST PICTURE,FALSE,Apocalypse Now,Action|Drama|War,4.11,147,8.5,541750,96,85,94,285465
177,1979,BEST PICTURE,FALSE,Breaking Away,Comedy|Drama,4,101,7.7,19908,94,36,88,9288
178,1979,BEST PICTURE,TRUE,Kramer vs. Kramer,Drama,3.73,105,7.8,117293,91,45,89,43300
179,1979,BEST PICTURE,FALSE,Norma Rae,Drama,3.67,114,7.4,9281,88,25,79,7169
180,1980,BEST PICTURE,FALSE,Coal Miner's Daughter,Drama,3.66,124,7.5,15093,88,16,86,36269
181,1980,BEST PICTURE,FALSE,The Elephant Man,Biography|Drama,4.2,124,8.2,198567,91,44,93,64386
182,1980,BEST PICTURE,TRUE,Ordinary People,Drama,3.88,124,7.8,41848,91,45,88,23123
183,1980,BEST PICTURE,FALSE,Raging Bull,Drama,4.05,129,8.2,284615,95,66,93,131037
184,1980,BEST PICTURE,FALSE,Tess,Drama|Romance,3.14,170,7.3,13406,83,23,78,6305
185,1981,BEST PICTURE,FALSE,Atlantic City,Crime|Drama|Romance,3.27,104,7.4,13185,100,32,77,5177
186,1981,BEST PICTURE,TRUE,Chariots of Fire,Drama,3.69,125,7.2,48905,84,67,80,37105
187,1981,BEST PICTURE,FALSE,On Golden Pond,Drama,3.69,109,7.7,25221,92,26,87,20501
188,1981,BEST PICTURE,FALSE,Indiana Jones and the Raiders of the Lost Ark,Action|Adventure,3.86,115,8.5,802452,95,75,96,825430
189,1981,BEST PICTURE,FALSE,Reds,Drama|Romance,3.51,195,7.4,18978,92,39,82,8957
190,1982,BEST PICTURE,FALSE,E.T. The Extra-Terrestrial,Family|Sci-Fi,3.79,115,7.9,333940,98,125,72,32314263
191,1982,BEST PICTURE,TRUE,Gandhi,Drama,3.97,191,8.1,205731,86,56,92,49733
192,1982,BEST PICTURE,FALSE,Missing,Drama|Mystery|Thriller,3.79,122,7.8,16462,97,30,85,5415
193,1982,BEST PICTURE,FALSE,Tootsie,Comedy|Romance,3.62,116,7.4,88680,89,47,81,58385
194,1982,BEST PICTURE,FALSE,The Verdict,Drama,3.47,129,7.8,31960,96,28,88,10330
195,1983,BEST PICTURE,FALSE,The Big Chill,Comedy|Drama,3.56,105,7.2,29855,66,35,77,22250
196,1983,BEST PICTURE,FALSE,The Dresser,Drama,3.35,118,7.7,4303,100,14,87,1791
197,1983,BEST PICTURE,FALSE,The Right Stuff,Adventure|Biography|Drama,4.06,193,7.9,51724,98,47,90,22869
198,1983,BEST PICTURE,FALSE,Tender Mercies,Drama|Romance|Western,3.95,92,7.4,8419,86,21,82,3591
199,1983,BEST PICTURE,TRUE,Terms of Endearment,Comedy|Drama,3.63,132,7.4,48993,88,43,83,36258
200,1984,BEST PICTURE,TRUE,Amadeus,Drama,4.06,160,8.3,332732,93,89,95,179835
201,1984,BEST PICTURE,FALSE,Places in the Heart,Drama,3.75,111,7.4,9303,96,27,83,6712
202,1984,BEST PICTURE,FALSE,A Soldier's Story,Crime|Drama|Mystery,3.6,101,7.2,8012,90,20,82,6482
203,1985,BEST PICTURE,FALSE,The Color Purple,Drama,3.42,154,7.8,70945,85,27,94,180782
204,1985,BEST PICTURE,FALSE,Kiss of the Spider Woman,Drama,3.78,120,7.4,12857,85,26,81,7162
205,1985,BEST PICTURE,TRUE,Out of Africa,Drama|Romance,3.64,161,7.2,63934,60,48,83,40189
206,1985,BEST PICTURE,FALSE,Prizzi's Honor,Comedy|Drama|Romance,3.58,130,6.8,20986,88,34,62,7899
207,1985,BEST PICTURE,FALSE,Witness,Drama|Romance|Thriller,3.83,112,7.4,77815,92,37,80,46712
208,1986,BEST PICTURE,FALSE,Children of a Lesser God,Drama,3.72,119,7.2,13545,81,32,78,8529
209,1986,BEST PICTURE,FALSE,Hannah and Her Sisters,Comedy|Drama|Romance,3.92,107,7.9,61296,91,56,90,31017
210,1986,BEST PICTURE,FALSE,The Mission,Adventure|Drama|History,3.36,125,7.5,51281,63,24,87,38835
211,1986,BEST PICTURE,TRUE,Platoon,Drama|War,3.9,120,8.1,348537,88,65,93,239618
212,1986,BEST PICTURE,FALSE,A Room with a View,Drama|Romance,3.71,117,7.4,35583,100,30,85,25400
213,1987,BEST PICTURE,FALSE,Broadcast News,Comedy|Drama|Romance,3.68,133,7.2,24558,98,47,78,10930
214,1987,BEST PICTURE,FALSE,Fatal Attraction,Drama|Thriller,3.43,119,6.9,66624,78,46,71,52927
215,1987,BEST PICTURE,FALSE,Hope and Glory,Drama,3.89,113,7.4,11318,95,19,83,5778
216,1987,BEST PICTURE,TRUE,The Last Emperor,Biography|Drama|History,3.45,163,7.8,84367,91,65,88,39805
217,1987,BEST PICTURE,FALSE,Moonstruck,Comedy|Romance,3.63,102,7.1,43303,93,56,80,44700
218,1988,BEST PICTURE,FALSE,The Accidental Tourist,Drama|Romance,3.5,121,6.8,13797,80,30,60,6193
219,1988,BEST PICTURE,FALSE,Dangerous Liaisons,Drama|Romance,3.86,119,7.6,59587,93,29,83,46509
220,1988,BEST PICTURE,FALSE,Mississippi Burning,Crime|Drama|Thriller,3.85,128,7.8,78175,86,21,90,39349
221,1988,BEST PICTURE,TRUE,Rain Man,Drama,3.91,133,8,438239,89,76,90,313840
222,1988,BEST PICTURE,FALSE,Working Girl,Comedy|Drama|Romance,3.35,113,6.8,47461,85,39,67,33545
223,1989,BEST PICTURE,FALSE,Born on the Fourth of July,Drama|War,3.44,145,7.2,89281,88,43,76,59286
224,1989,BEST PICTURE,FALSE,Dead Poets Society,Drama,3.92,128,8.1,363716,84,57,92,306778
225,1989,BEST PICTURE,TRUE,Driving Miss Daisy,Drama,3.68,99,7.4,88262,82,61,81,53602
226,1989,BEST PICTURE,FALSE,Field of Dreams,Children|Drama|Fantasy,3.62,107,7.5,99100,86,58,86,192781
227,1989,BEST PICTURE,FALSE,My Left Foot,Drama,3.88,103,7.9,60454,97,35,92,26704
228,1990,BEST PICTURE,FALSE,Awakenings,Drama|Mystery,3.76,121,7.8,111114,88,33,89,55031
229,1990,BEST PICTURE,TRUE,Dances With Wolves,Adventure|Drama|Western,4.25,181,8,218870,82,74,87,213480
230,1990,BEST PICTURE,FALSE,Ghost,Comedy|Drama|Fantasy|Romance|Thriller,3.44,127,7,177508,74,66,80,469421
231,1990,BEST PICTURE,FALSE,"The Godfather, Part III",Crime|Drama,3.7,162,7.6,323557,68,59,78,305543
232,1990,BEST PICTURE,FALSE,Good Fellas,Biography|Crime|Drama,4.11,146,8.7,894319,96,92,97,428539
233,1991,BEST PICTURE,FALSE,Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,3.68,84,8,384970,94,113,92,759753
234,1991,BEST PICTURE,FALSE,Bugsy,Crime|Drama,3.23,136,6.8,23615,85,59,69,10180
235,1991,BEST PICTURE,FALSE,JFK,Drama|Mystery|Thriller,3.65,189,8,130011,83,60,88,62496
236,1991,BEST PICTURE,FALSE,The Prince of Tides,Drama|Romance,3.36,132,6.7,14560,68,31,70,9215
237,1991,BEST PICTURE,TRUE,The Silence of the Lambs,Crime|Drama|Thriller,4.39,118,8.6,1117469,96,91,95,846168
238,1992,BEST PICTURE,FALSE,The Crying Game,Crime|Drama|Romance,3.13,112,7.3,47076,94,66,78,31785
