year,category,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,imdb_numVotes,RottenCriticRating,rottencritic_numVotes,RottenRating,rotten_numVotes,won_bafta,won_sa,won_sag,won_cc,won_dga,won_nbra,won_oscar
1948,BEST PICTURE,The Red Shoes,Drama|Musical|Romance,4.15,134,8.3,24336,96,55,92,11713,0,0,0,0,0,0,0
1948,BEST PICTURE,The Snake Pit,Drama|Mystery,3.8,108,7.6,5942,100,7,83,2642,0,0,0,0,0,0,0
1948,BEST PICTURE,The Treasure of the Sierra Madre,Adventure|Drama|Western,4.1,126,8.2,100647,100,45,93,26022,0,0,0,0,0,0,0
1949,BEST PICTURE,All the King's Men,Drama,3.9,110,7.5,11860,97,34,78,4832,0,0,0,0,1,0,1
1949,BEST PICTURE,Battleground,Action|Drama|War,3.53,118,7.5,6037,100,5,82,2723,0,0,0,0,0,0,0
1949,BEST PICTURE,The Heiress,Drama|Romance,4.1,115,8.2,11689,100,9,93,3000,0,0,0,0,0,0,0
1949,BEST PICTURE,A Letter to Three Wives,Drama|Romance,3.6,103,7.8,7496,94,17,86,3711,0,0,0,0,0,0,0
1949,BEST PICTURE,Twelve O'Clock High,Drama|War,3.89,132,7.8,11391,96,23,87,6003,0,0,0,0,0,0,0
1950,BEST PICTURE,All About Eve,Drama,4.15,138,8.3,106339,100,66,94,45076,1,0,0,0,1,0,1
1950,BEST PICTURE,Born Yesterday,Comedy,3.85,103,7.6,8916,95,21,86,4765,0,0,0,0,0,0,0
1950,BEST PICTURE,Father of the Bride,Comedy,3.46,92,7.2,9134,93,29,74,13891,0,0,0,0,0,0,0
1950,BEST PICTURE,King Solomon's Mines,Action|Adventure|Romance,3.33,103,6.9,5170,92,12,60,3231,0,0,0,0,0,0,0
1950,BEST PICTURE,Sunset Boulevard,Drama|Film-Noir,4.2,110,8.4,176525,98,62,95,53182,0,0,0,0,0,1,0
1951,BEST PICTURE,An American in Paris,Drama|Musical|Romance,3.6,114,7.2,27161,95,62,79,26399,0,0,0,0,0,0,1
1951,BEST PICTURE,Decision before Dawn,Drama|War,3.65,119,7.3,2076,100,5,69,334,0,0,0,0,0,0,0
1951,BEST PICTURE,A Place in the Sun,Drama|Romance,3.8,122,7.8,17906,75,28,84,8513,0,0,0,0,1,1,0
1951,BEST PICTURE,Quo Vadis,Drama|Romance,3.33,171,7.2,12087,88,16,73,3708,0,0,0,0,0,0,0
1951,BEST PICTURE,A Streetcar Named Desire,Drama,4,122,8,90884,98,55,90,55049,0,0,0,0,0,0,0
1952,BEST PICTURE,The Greatest Show on Earth,Drama|Family|Romance,3.35,152,6.7,11488,45,29,55,6168,0,0,0,0,0,0,1
1952,BEST PICTURE,High Noon,Drama|Western,4.04,85,8,89920,96,50,89,25323,0,0,0,0,0,0,0
1952,BEST PICTURE,Ivanhoe,Adventure|Drama|Romance,3.18,106,6.8,7442,79,14,64,5025,0,0,0,0,0,0,0
1952,BEST PICTURE,Moulin Rouge,Drama,3.21,119,7.1,4479,78,9,90,68270,0,0,0,0,0,0,0
1952,BEST PICTURE,The Quiet Man,Comedy|Drama|Romance,3.8,129,7.8,31544,90,40,91,30384,0,0,0,0,1,1,0
1953,BEST PICTURE,From Here to Eternity,Drama|Romance|War,3.93,118,7.7,39191,92,52,84,14837,0,0,0,0,1,0,1
1953,BEST PICTURE,Julius Caesar,Drama,3.55,120,7.4,9332,95,20,81,5238,0,0,0,0,0,1,0
1953,BEST PICTURE,The Robe,Drama|History,3.4,135,6.8,8055,33,18,69,6004,0,0,0,0,0,0,0
1953,BEST PICTURE,Roman Holiday,Comedy|Drama|Romance,4.06,118,8.1,116728,98,53,93,63319,0,0,0,0,0,0,0
1953,BEST PICTURE,Shane,Drama|Western,3.76,118,7.7,33258,97,33,81,15474,0,0,0,0,0,0,0
1954,BEST PICTURE,The Caine Mutiny,Drama|War,3.9,124,7.8,22510,92,24,87,7531,0,0,0,0,0,0,0
1954,BEST PICTURE,The Country Girl,Drama|Musical,3.45,104,7.3,4831,86,7,78,3102,0,0,0,0,0,0,0
1954,BEST PICTURE,On the Waterfront,Crime|Drama,4.13,108,8.2,127596,98,64,95,52055,0,0,0,0,1,1,1
1954,BEST PICTURE,Seven Brides for Seven Brothers,Comedy|Musical|Romance|Western,3.55,102,7.4,19272,88,25,87,54281,0,0,0,0,0,0,0
1954,BEST PICTURE,Three Coins in the Fountain,Drama|Romance,2.82,102,6.3,2742,63,8,43,2015,0,0,0,0,0,0,0
1955,BEST PICTURE,Love Is a Many-Splendored Thing,Drama|Romance|War,3.27,102,6.6,4011,50,14,57,2550,0,0,0,0,0,0,0
1955,BEST PICTURE,Marty,Drama|Romance,3.9,90,7.7,18971,100,33,87,6710,0,0,0,0,1,1,1
1955,BEST PICTURE,Mister Roberts,Comedy|Drama|War,4.04,123,7.7,14223,92,24,85,6713,0,0,0,0,0,0,0
1955,BEST PICTURE,Picnic,Drama|Romance,3.65,115,7.2,7260,57,7,55,2506,0,0,0,0,0,0,0
1955,BEST PICTURE,The Rose Tattoo,Comedy|Drama|Romance,3.45,117,7.2,3124,80,5,76,1102,0,0,0,0,0,0,0
1956,BEST PICTURE,Around the World in 80 Days,Adventure|Comedy,3.47,175,6.8,21952,71,38,57,33398,0,0,0,0,0,1,1
1956,BEST PICTURE,Friendly Persuasion,Drama,3.81,137,7.5,5735,88,8,82,1242,0,0,0,0,0,0,0
1956,BEST PICTURE,Giant,Drama|Romance|Western,3.74,201,7.7,30945,95,40,86,24234,0,0,0,0,1,0,0
1956,BEST PICTURE,The King and I,Biography|Drama|Musical,3.25,133,7.5,21995,96,25,83,60960,0,0,0,0,0,0,0
1956,BEST PICTURE,The Ten Commandments,Adventure|Drama,3.45,220,7.9,56606,94,33,87,60166,0,0,0,0,0,0,0
1957,BEST PICTURE,The Bridge on the River Kwai,Adventure|Drama|War,4.1,161,8.2,184678,95,56,93,54514,1,0,0,0,1,1,1
1957,BEST PICTURE,Peyton Place,Drama|Romance,3.3,157,7.2,4708,60,15,73,3098,0,0,0,0,0,0,0
1957,BEST PICTURE,Sayonara,Drama,3.39,147,7.2,5346,100,9,78,3540,0,0,0,0,0,0,0
1957,BEST PICTURE,12 Angry Men,Drama,4.24,96,8.9,584744,100,50,97,104767,0,0,0,0,0,0,0
1957,BEST PICTURE,Witness for the Prosecution,Drama|Mystery|Thriller,4.08,116,8.4,89880,100,31,95,8901,0,0,0,0,0,0,0
1958,BEST PICTURE,Auntie Mame,Comedy|Drama,3.89,143,8,9405,93,14,93,8198,0,0,0,0,0,0,0
1958,BEST PICTURE,Cat on a Hot Tin Roof,Drama,3.93,108,8.1,39943,97,35,92,31697,0,0,0,0,0,0,0
1958,BEST PICTURE,The Defiant Ones,Crime|Drama,3.35,96,7.7,11772,81,21,88,5123,0,0,0,0,0,0,0
1958,BEST PICTURE,Gigi,Musical,3.6,115,6.8,17608,79,33,74,20961,0,0,0,0,1,0,1
1958,BEST PICTURE,Separate Tables,Drama,3.7,100,7.5,5907,71,14,78,1333,0,0,0,0,0,0,0
1959,BEST PICTURE,Anatomy of a Murder,Drama|Mystery,4.02,160,8,53536,100,42,90,12286,0,0,0,0,0,0,0
1959,BEST PICTURE,Ben-Hur,Action|Adventure|Drama,3.8,212,8.1,199622,87,46,89,106050,1,0,0,0,1,0,1
1959,BEST PICTURE,The Diary of Anne Frank,Drama|War,3.7,180,7.4,10952,76,17,77,27939,0,0,0,0,0,0,0
1959,BEST PICTURE,The Nun's Story,Drama,3.2,149,7.6,8422,93,15,82,5543,0,0,0,0,0,1,0
1959,BEST PICTURE,Room at the Top,Drama,3.81,117,7.6,4434,100,13,82,1162,0,0,0,0,0,0,0
1960,BEST PICTURE,The Alamo,Adventure|Drama|History,3.3,162,6.9,13013,50,20,64,7310,0,0,0,0,0,0,0
1960,BEST PICTURE,The Apartment,Comedy|Drama|Romance,4.15,125,8.3,141371,94,63,94,37979,1,0,0,0,1,0,1
1960,BEST PICTURE,Elmer Gantry,Drama,3.87,146,7.8,9190,97,29,86,3384,0,0,0,0,0,0,0
1960,BEST PICTURE,Sons and Lovers,Drama,3.08,103,7.3,1147,75,8,55,394,0,0,0,0,0,1,0
1960,BEST PICTURE,The Sundowners,Drama|Adventure,3.65,133,7.2,3405,80,10,63,584,0,0,0,0,0,0,0
1961,BEST PICTURE,Fanny,Drama|Romance,3.32,134,7,1747,0,0,70,417,0,0,0,0,0,0,0
1961,BEST PICTURE,The Guns of Navarone,Action|Adventure|Drama,3.25,158,7.6,41652,95,22,86,20179,0,0,0,0,0,0,0
1961,BEST PICTURE,The Hustler,Drama|Sport,4.15,134,8,70153,98,43,93,31163,0,0,0,0,0,0,0
1961,BEST PICTURE,Judgment at Nuremberg,Drama,3.96,186,8.2,61051,90,20,93,8605,0,0,0,0,0,0,0
1961,BEST PICTURE,West Side Story,Drama|Musical|Romance,3.72,153,7.6,86813,94,67,84,168816,0,0,0,0,1,0,1
1962,BEST PICTURE,Lawrence of Arabia,Adventure|Drama|War,4.11,216,8.3,238938,98,82,93,74715,1,0,0,0,1,0,1
1962,BEST PICTURE,The Longest Day,Action|Drama|History,3.45,178,7.8,48624,91,22,90,42863,0,0,0,0,0,1,0
1962,BEST PICTURE,The Music Man,Comedy|Musical|Romance,3.35,151,7.7,14692,94,17,85,30520,0,0,0,0,0,0,0
1962,BEST PICTURE,Mutiny on the Bounty,Adventure|Drama|Romance,3.57,178,7.3,13479,72,18,73,4451,0,0,0,0,0,0,0
1962,BEST PICTURE,To Kill a Mockingbird,Drama,4.15,129,8.3,268613,91,57,92,178692,0,0,0,0,0,0,0
1963,BEST PICTURE,America America,Drama,3.45,176,7.8,4300,71,7,85,967,0,0,0,0,0,0,0
1963,BEST PICTURE,Cleopatra,Drama|Romance,3.44,192,7,26208,56,34,69,20503,0,0,0,0,0,0,0
1963,BEST PICTURE,How the West Was Won,Western,3.56,184,7.1,16813,90,20,74,9762,0,0,0,0,0,0,0
1963,BEST PICTURE,Lilies of the Field,Drama,3.94,94,7.6,7895,90,21,85,6118,0,0,0,0,0,0,0
1963,BEST PICTURE,Tom Jones,Adventure|Comedy|Romance,3.77,128,6.6,10311,85,33,58,5459,1,0,0,0,1,1,1
1964,BEST PICTURE,Becket,Drama,3.91,148,8,12568,75,24,88,5598,0,0,0,0,0,1,0
1964,BEST PICTURE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,4.21,95,8.4,410460,99,77,94,209130,0,0,0,0,0,0,0
1964,BEST PICTURE,Mary Poppins,Children|Comedy|Fantasy|Musical,3.72,139,7.8,140319,100,48,86,682194,0,0,0,0,0,0,0
1964,BEST PICTURE,My Fair Lady,Comedy|Drama|Musical|Romance,3.87,170,7.9,79112,96,50,90,186935,1,0,0,0,1,0,1
1964,BEST PICTURE,Zorba the Greek,Comedy|Drama,3.35,142,7.7,18528,88,8,87,7118,0,0,0,0,0,0,0
1965,BEST PICTURE,Darling,Drama,3.42,128,7.2,5188,70,10,71,2177,0,0,0,0,0,0,0
1965,BEST PICTURE,Doctor Zhivago,Drama|Romance|War,3.92,197,8,63997,82,45,88,45705,0,0,0,0,0,0,0
1965,BEST PICTURE,Ship of Fools,Drama,3.5,149,7.2,4629,81,16,77,1164,0,0,0,0,0,0,0
1965,BEST PICTURE,The Sound of Music,Biography|Drama|Family,4.25,172,8,180961,86,64,91,606045,0,0,0,0,1,0,1
1965,BEST PICTURE,A Thousand Clowns,Comedy|Drama|Romance,3.25,118,7.5,2959,69,16,89,1066,0,0,0,0,0,0,0
1966,BEST PICTURE,Alfie,Comedy|Drama|Romance,3.6,114,7.1,12307,96,26,76,14660,0,0,0,0,0,0,0
1966,BEST PICTURE,A Man for All Seasons,Biography|Drama|History,3.45,120,7.8,27943,82,38,87,9727,1,0,0,0,1,1,1
1966,BEST PICTURE,The Russians Are Coming The Russians Are Coming,Comedy|War,3.6,126,7.1,7144,85,20,75,4747,0,0,0,0,0,0,0
1966,BEST PICTURE,The Sand Pebbles,Adventure|Drama|Romance,3.45,182,7.7,12077,94,16,88,5626,0,0,0,0,0,0,0
1966,BEST PICTURE,Who's Afraid of Virginia Woolf?,Drama,4.03,131,8,63471,95,41,91,21546,1,0,0,0,0,0,0
1967,BEST PICTURE,Bonnie and Clyde,Crime|Drama,3.85,111,7.9,93040,88,56,88,56421,0,0,0,0,0,0,0
1967,BEST PICTURE,Doctor Dolittle,Adventure|Children|Musical,3,152,6.2,7524,32,19,57,73369,0,0,0,0,0,0,0
1967,BEST PICTURE,The Graduate,Comedy|Drama|Romance,4.5,106,8,236312,89,75,90,183364,1,0,0,0,1,0,0
1967,BEST PICTURE,Guess Who's Coming to Dinner,Drama,3.84,108,7.8,34823,71,31,85,38197,0,0,0,0,0,0,0
1967,BEST PICTURE,In the Heat of the Night,Drama|Mystery,4.05,110,8,59775,96,49,92,23095,0,0,0,0,0,0,1
1968,BEST PICTURE,Funny Girl,Drama|Musical|Romance,3.56,151,7.6,16500,93,44,85,19840,0,0,0,0,0,0,0
1968,BEST PICTURE,The Lion in Winter,Biography|Drama|History,4.05,134,8.1,26724,92,36,90,13077,0,0,0,0,1,0,0
1968,BEST PICTURE,Oliver!,Drama|Musical,3.64,153,7.5,31159,82,33,81,56053,0,0,0,0,0,0,1
1968,BEST PICTURE,"Rachel, Rachel",Drama|Romance,3.62,101,7.4,2660,86,7,77,482,0,0,0,0,0,0,0
1968,BEST PICTURE,Romeo and Juliet,Drama|Romance,3.61,138,7.6,26971,94,36,74,65120,0,0,0,0,0,0,0
1969,BEST PICTURE,Anne of the Thousand Days,Drama,3.77,145,7.5,6115,38,13,83,3269,0,0,0,0,0,0,0
1969,BEST PICTURE,Butch Cassidy and the Sundance Kid,Action|Western,4.03,110,8.1,185605,90,48,92,70978,1,0,0,0,0,0,0
1969,BEST PICTURE,"Hello, Dolly!",Comedy|Musical|Romance,3.37,146,7.2,11968,43,30,76,21156,0,0,0,0,0,0,0
1969,BEST PICTURE,Midnight Cowboy,Drama,3.96,113,7.9,89499,90,63,88,39873,1,0,0,0,1,0,1
1969,BEST PICTURE,Z,Drama|Mystery|Thriller,4.02,127,8.2,21110,93,40,93,6500,0,0,0,0,0,0,0
1970,BEST PICTURE,Airport,Drama,3.05,137,6.6,15773,80,15,53,11242,0,0,0,0,0,0,0
1970,BEST PICTURE,Five Easy Pieces,Drama,3.9,98,7.5,29826,88,49,84,13083,0,0,0,0,0,0,0
1970,BEST PICTURE,Love Story,Drama|Romance,3.21,100,6.9,26871,64,25,75,35255,0,0,0,0,0,0,0
1970,BEST PICTURE,MASH,Comedy|Drama|War,3.4,116,7.6,62944,85,47,83,53077,0,0,0,0,0,0,0
1970,BEST PICTURE,Patton,Drama|War,4,172,8,87450,96,45,93,43207,0,0,0,0,1,1,1
1971,BEST PICTURE,A Clockwork Orange,Comedy|Drama|Sci-Fi,4.15,136,8.3,680938,90,59,93,436312,0,0,0,0,0,0,0
1971,BEST PICTURE,Fiddler on the Roof,Drama|Musical,3.89,181,8,34806,83,40,92,52502,0,0,0,0,0,0,0
1971,BEST PICTURE,The French Connection,Action|Crime|Drama,3.8,104,7.8,98575,98,56,87,44157,0,0,0,0,1,0,1
1971,BEST PICTURE,The Last Picture Show,Drama,4.16,118,8.1,37429,100,52,90,14082,0,0,0,0,0,0,0
1971,BEST PICTURE,Nicholas and Alexandra,Drama|War,3.43,183,7.3,3967,71,14,78,1663,0,0,0,0,0,0,0
1972,BEST PICTURE,Cabaret,Drama|Musical,3.86,124,7.8,42949,95,37,87,36019,1,0,0,0,0,1,0
1972,BEST PICTURE,Deliverance,Adventure|Drama|Thriller,3.77,109,7.7,90274,93,56,82,49318,0,0,0,0,0,0,0
1972,BEST PICTURE,The Emigrants,Drama|History,3.97,151,8,4608,89,9,87,758,0,0,0,0,0,0,0
1972,BEST PICTURE,The Godfather,Crime|Drama,4.62,175,9.2,1420779,98,89,98,732022,0,0,0,0,1,0,1
1972,BEST PICTURE,Sounder,Drama,3.76,105,7.6,3128,88,17,77,1922,0,0,0,0,0,0,0
1973,BEST PICTURE,American Graffiti,Comedy|Drama,3.75,110,7.5,74033,96,47,84,64476,0,0,0,0,0,0,0
1973,BEST PICTURE,Cries and Whispers,Drama,3.67,151,8.1,25504,89,28,91,9191,0,0,0,0,0,0,0
1973,BEST PICTURE,The Exorcist,Horror,3.89,122,8,329151,85,75,87,419799,0,0,0,0,0,0,0
1973,BEST PICTURE,The Sting,Comedy|Crime|Drama,3.99,129,8.3,216858,93,57,95,61610,0,0,0,0,1,1,1
1973,BEST PICTURE,A Touch of Class,Comedy|Romance,3.11,106,6.5,2469,91,11,65,2022,0,0,0,0,0,0,0
1974,BEST PICTURE,Chinatown,Crime|Film-Noir|Mystery|Thriller,4.15,130,8.2,263490,98,64,93,77592,0,0,0,0,0,0,0
1974,BEST PICTURE,The Conversation,Drama|Mystery|Thriller,3.48,113,7.9,86745,98,49,90,34941,0,0,0,0,0,1,0
1974,BEST PICTURE,The Godfather Part II,Crime|Drama,4.31,202,9,986231,97,73,97,410664,0,0,0,0,1,0,1
1974,BEST PICTURE,Lenny,Drama,3.77,111,7.6,12929,95,20,88,6525,0,0,0,0,0,0,0
1974,BEST PICTURE,The Towering Inferno,Action|Drama|Thriller,3.37,165,6.9,35462,71,28,71,28282,0,0,0,0,0,0,0
1975,BEST PICTURE,Barry Lyndon,Drama|Romance|War,3.83,185,8.1,130762,94,67,92,44895,0,0,0,0,0,1,0
1975,BEST PICTURE,Dog Day Afternoon,Crime|Drama,3.96,125,8,216415,95,42,90,110014,0,0,0,0,0,0,0
1975,BEST PICTURE,Jaws,Action|Horror,3.78,124,8,505104,97,78,90,943309,0,0,0,0,0,0,0
1975,BEST PICTURE,Nashville,Drama|Musical,3.89,160,7.8,20856,93,54,84,10046,0,0,0,0,0,1,0
1975,BEST PICTURE,One Flew over the Cuckoo's Nest,Drama,4.17,133,8.7,821663,94,70,96,279151,1,0,0,0,1,0,1
1976,BEST PICTURE,All the President's Men,Drama|Thriller,4.03,138,8,91053,93,56,92,50158,0,0,0,0,0,1,0
1976,BEST PICTURE,Bound for Glory,Drama,3.6,147,7.3,4281,85,20,77,1378,0,0,0,0,0,0,0
1976,BEST PICTURE,Network,Comedy|Drama,4.01,121,8.1,129862,92,61,93,36180,0,0,0,0,0,0,0
1976,BEST PICTURE,Rocky,Drama,3.73,120,8.1,467667,93,60,69,33403994,0,0,0,0,1,0,1
1976,BEST PICTURE,Taxi Driver,Crime|Drama|Thriller,4.09,114,8.3,628621,98,82,93,259362,0,0,0,0,0,0,0
1977,BEST PICTURE,Annie Hall,Comedy|Romance,4.04,93,8,235094,97,71,92,153515,1,0,0,0,1,0,1
1977,BEST PICTURE,The Goodbye Girl,Comedy|Drama|Romance,3.24,111,7.4,11303,88,16,84,7457,0,0,0,0,0,0,0
1977,BEST PICTURE,Julia,Drama,3.59,117,7.3,8006,72,25,71,2731,1,0,0,0,0,0,0
1977,BEST PICTURE,Star Wars,Action|Adventure|Fantasy,4.23,121,8.6,1109018,93,116,96,860155,0,0,0,0,0,0,0
1977,BEST PICTURE,The Turning Point,Drama|Romance,3.7,119,6.9,3869,60,20,67,2860,0,0,0,0,0,1,0
1978,BEST PICTURE,Coming Home,Drama|War,3.68,127,7.3,11126,82,22,83,5149,0,0,0,0,0,0,0
1978,BEST PICTURE,The Deer Hunter,Drama|War,3.88,183,8.1,282003,94,68,92,103261,0,0,0,0,1,0,1
1978,BEST PICTURE,Heaven Can Wait,Comedy,3.54,101,6.9,16762,89,36,68,13197,0,0,0,0,0,0,0
1978,BEST PICTURE,Midnight Express,Drama,3.89,121,7.6,64924,96,24,89,31000,0,0,0,0,0,0,0
1978,BEST PICTURE,An Unmarried Woman,Comedy|Drama|Romance,3.6,124,7.2,4096,89,19,72,1805,0,0,0,0,0,0,0
1979,BEST PICTURE,All That Jazz,Drama|Fantasy|Musical,3.75,123,7.8,23786,86,36,86,11693,0,0,0,0,0,0,0
1979,BEST PICTURE,Apocalypse Now,Action|Drama|War,4.11,147,8.5,541750,96,85,94,285465,0,0,0,0,0,0,0
1979,BEST PICTURE,Breaking Away,Comedy|Drama,4,101,7.7,19908,94,36,88,9288,0,0,0,0,0,0,0
1979,BEST PICTURE,Kramer vs. Kramer,Drama,3.73,105,7.8,117293,91,45,89,43300,0,0,0,0,1,0,1
1979,BEST PICTURE,Norma Rae,Drama,3.67,114,7.4,9281,88,25,79,7169,0,0,0,0,0,0,0
1980,BEST PICTURE,Coal Miner's Daughter,Drama,3.66,124,7.5,15093,88,16,86,36269,0,0,0,0,0,0,0
1980,BEST PICTURE,The Elephant Man,Biography|Drama,4.2,124,8.2,198567,91,44,93,64386,1,0,0,0,0,0,0
1980,BEST PICTURE,Ordinary People,Drama,3.88,124,7.8,41848,91,45,88,23123,0,0,0,0,1,1,1
1980,BEST PICTURE,Raging Bull,Drama,4.05,129,8.2,284615,95,66,93,131037,0,0,0,0,0,0,0
1980,BEST PICTURE,Tess,Drama|Romance,3.14,170,7.3,13406,83,23,78,6305,0,0,0,0,0,0,0
1981,BEST PICTURE,Atlantic City,Crime|Drama|Romance,3.27,104,7.4,13185,100,32,77,5177,0,0,0,0,0,0,0
1981,BEST PICTURE,Chariots of Fire,Drama,3.69,125,7.2,48905,84,67,80,37105,1,0,0,0,0,1,1
1981,BEST PICTURE,On Golden Pond,Drama,3.69,109,7.7,25221,92,26,87,20501,0,0,0,0,0,0,0
1981,BEST PICTURE,Indiana Jones and the Raiders of the Lost Ark,Action|Adventure,3.86,115,8.5,802452,95,75,96,825430,0,0,0,0,0,0,0
1981,BEST PICTURE,Reds,Drama|Romance,3.51,195,7.4,18978,92,39,82,8957,0,0,0,0,1,1,0
1982,BEST PICTURE,E.T. The Extra-Terrestrial,Family|Sci-Fi,3.79,115,7.9,333940,98,125,72,32314263,0,0,0,0,0,0,0
1982,BEST PICTURE,Gandhi,Drama,3.97,191,8.1,205731,86,56,92,49733,1,0,0,0,1,1,1
1982,BEST PICTURE,Missing,Drama|Mystery|Thriller,3.79,122,7.8,16462,97,30,85,5415,0,0,0,0,0,0,0
1982,BEST PICTURE,Tootsie,Comedy|Romance,3.62,116,7.4,88680,89,47,81,58385,0,0,0,0,0,0,0
1982,BEST PICTURE,The Verdict,Drama,3.47,129,7.8,31960,96,28,88,10330,0,0,0,0,0,0,0
1983,BEST PICTURE,The Big Chill,Comedy|Drama,3.56,105,7.2,29855,66,35,77,22250,0,0,0,0,0,0,0
1983,BEST PICTURE,The Dresser,Drama,3.35,118,7.7,4303,100,14,87,1791,0,0,0,0,0,0,0
1983,BEST PICTURE,The Right Stuff,Adventure|Biography|Drama,4.06,193,7.9,51724,98,47,90,22869,0,0,0,0,0,0,0
1983,BEST PICTURE,Tender Mercies,Drama|Romance|Western,3.95,92,7.4,8419,86,21,82,3591,0,0,0,0,0,0,0
1983,BEST PICTURE,Terms of Endearment,Comedy|Drama,3.63,132,7.4,48993,88,43,83,36258,0,0,0,0,1,1,1
1984,BEST PICTURE,Amadeus,Drama,4.06,160,8.3,332732,93,89,95,179835,0,0,0,0,1,0,1
1984,BEST PICTURE,Places in the Heart,Drama,3.75,111,7.4,9303,96,27,83,6712,0,0,0,0,0,0,0
1984,BEST PICTURE,A Soldier's Story,Crime|Drama|Mystery,3.6,101,7.2,8012,90,20,82,6482,0,0,0,0,0,0,0
1985,BEST PICTURE,The Color Purple,Drama,3.42,154,7.8,70945,85,27,94,180782,0,0,0,0,1,1,0
1985,BEST PICTURE,Kiss of the Spider Woman,Drama,3.78,120,7.4,12857,85,26,81,7162,0,0,0,0,0,0,0
1985,BEST PICTURE,Out of Africa,Drama|Romance,3.64,161,7.2,63934,60,48,83,40189,0,0,0,0,0,0,1
1985,BEST PICTURE,Prizzi's Honor,Comedy|Drama|Romance,3.58,130,6.8,20986,88,34,62,7899,0,0,0,0,0,0,0
1985,BEST PICTURE,Witness,Drama|Romance|Thriller,3.83,112,7.4,77815,92,37,80,46712,0,0,0,0,0,0,0
1986,BEST PICTURE,Children of a Lesser God,Drama,3.72,119,7.2,13545,81,32,78,8529,0,0,0,0,0,0,0
1986,BEST PICTURE,Hannah and Her Sisters,Comedy|Drama|Romance,3.92,107,7.9,61296,91,56,90,31017,0,0,0,0,0,0,0
1986,BEST PICTURE,The Mission,Adventure|Drama|History,3.36,125,7.5,51281,63,24,87,38835,0,0,0,0,0,0,0
1986,BEST PICTURE,Platoon,Drama|War,3.9,120,8.1,348537,88,65,93,239618,0,0,0,0,1,0,1
1986,BEST PICTURE,A Room with a View,Drama|Romance,3.71,117,7.4,35583,100,30,85,25400,1,0,0,0,0,1,0
